mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0007191181182861328,8.75614296146295e-05,0.0015038013458251952,6.258214762957723e-05,ball_tree,euclidean,2,uniform,"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}",0.782608695652174,0.8260869565217391,0.6521739130434783,0.5652173913043478,0.6956521739130435,0.7043478260869566,0.09284415871331578,19,0.8695652173913043,0.8695652173913043,0.8913043478260869,0.9239130434782609,0.8695652173913043,0.8847826086956522,0.021299910806810252
0.0005126476287841796,3.0086648770743294e-05,0.0011859893798828124,2.5413049655284162e-05,ball_tree,euclidean,2,distance,"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}",0.782608695652174,0.8260869565217391,0.6086956521739131,0.6956521739130435,0.7391304347826086,0.7304347826086957,0.07480282840906631,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0005250930786132813,3.644814231981041e-05,0.0014358997344970704,5.648409372679468e-05,ball_tree,euclidean,3,uniform,"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.782608695652174,0.8260869565217391,0.6086956521739131,0.5217391304347826,0.6956521739130435,0.6869565217391305,0.1113586823901365,25,0.8152173913043478,0.8369565217391305,0.8478260869565217,0.8586956521739131,0.8478260869565217,0.8413043478260869,0.014744195615489734
0.00048003196716308596,1.2912165629959381e-05,0.0012065410614013673,0.00011727350169362696,ball_tree,euclidean,3,distance,"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.782608695652174,0.8260869565217391,0.6086956521739131,0.6956521739130435,0.6956521739130435,0.7217391304347827,0.07580693814853345,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0005111217498779297,4.0364878030759985e-05,0.0014580249786376952,5.447550979539219e-05,ball_tree,euclidean,5,uniform,"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.6521739130434783,0.6956521739130435,0.6086956521739131,0.5217391304347826,0.6956521739130435,0.6347826086956522,0.06507230237867724,55,0.7608695652173914,0.7391304347826086,0.782608695652174,0.8043478260869565,0.7391304347826086,0.7652173913043478,0.025351964760196986
0.0005173206329345704,1.892472909020503e-05,0.0011916160583496094,3.5963765311647796e-05,ball_tree,euclidean,5,distance,"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.6956521739130435,0.8260869565217391,0.6521739130434783,0.5652173913043478,0.6956521739130435,0.6869565217391304,0.08430747578115357,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0004990100860595703,1.9088381673095795e-05,0.0014717578887939453,8.492455062125203e-05,ball_tree,euclidean,7,uniform,"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.4782608695652174,0.6956521739130435,0.5217391304347826,0.4782608695652174,0.5217391304347826,0.5391304347826087,0.08064016083039742,73,0.6521739130434783,0.7065217391304348,0.717391304347826,0.7282608695652174,0.6521739130434783,0.691304347826087,0.032681079083419357
0.0005098819732666015,4.8972731531212286e-05,0.0012224197387695312,7.156615695385314e-05,ball_tree,euclidean,7,distance,"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.6521739130434783,0.782608695652174,0.6086956521739131,0.5652173913043478,0.6956521739130435,0.6608695652173913,0.07480282840906634,46,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0004933834075927735,1.6641958391679245e-05,0.0013874053955078125,2.9152811511391673e-05,ball_tree,euclidean,9,uniform,"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.391304347826087,0.5217391304347826,0.5652173913043478,0.391304347826087,0.43478260869565216,0.4608695652173913,0.07064381221422572,82,0.5978260869565217,0.5217391304347826,0.6195652173913043,0.6739130434782609,0.5760869565217391,0.5978260869565217,0.05004723666617973
0.0005228996276855468,5.256194833865177e-05,0.0012416839599609375,9.318708427223364e-05,ball_tree,euclidean,9,distance,"{'algorithm': 'ball_tree', 'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.6521739130434783,0.7391304347826086,0.6086956521739131,0.5217391304347826,0.6521739130434783,0.6347826086956522,0.07064381221422572,55,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0004988670349121094,3.52903311818654e-05,0.0013804435729980469,0.00010088425173478425,ball_tree,manhattan,2,uniform,"{'algorithm': 'ball_tree', 'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}",0.7391304347826086,0.8695652173913043,0.5652173913043478,0.4782608695652174,0.6956521739130435,0.6695652173913043,0.13638597514224451,43,0.8478260869565217,0.8369565217391305,0.8586956521739131,0.8804347826086957,0.8586956521739131,0.8565217391304347,0.01442010778415391
