mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.10214800834655761,0.0018717653552911293,0.30496835708618164,0.0003799045161299553,ball_tree,manhattan,5,uniform,"{'algorithm': 'ball_tree', 'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.5217391304347826,0.6956521739130435,0.5652173913043478,0.5217391304347826,0.6956521739130435,0.6,0.07969696860792766,52,0.7065217391304348,0.7391304347826086,0.7717391304347826,0.7717391304347826,0.7608695652173914,0.75,0.02478642228476386
0.10211682319641113,0.0008112338094218391,0.30408596992492676,0.0004237154971961312,ball_tree,manhattan,5,distance,"{'algorithm': 'ball_tree', 'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.782608695652174,0.8695652173913043,0.6521739130434783,0.5217391304347826,0.7391304347826086,0.7130434782608696,0.11859288432161615,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.10259385108947754,0.0006012688049342437,0.3057833194732666,0.0004260009477497729,ball_tree,manhattan,7,uniform,"{'algorithm': 'ball_tree', 'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.5217391304347826,0.6956521739130435,0.6086956521739131,0.34782608695652173,0.5217391304347826,0.5391304347826087,0.11536086227323131,55,0.6739130434782609,0.6956521739130435,0.717391304347826,0.7065217391304348,0.6630434782608695,0.691304347826087,0.02016004020759937
0.10512804985046387,0.0011036769177055177,0.30455865859985354,0.0008409777659644603,ball_tree,manhattan,7,distance,"{'algorithm': 'ball_tree', 'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.6956521739130435,0.8260869565217391,0.6086956521739131,0.5217391304347826,0.6956521739130435,0.6695652173913044,0.10140785904078783,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.10337514877319336,0.0023873009043531256,0.30489416122436525,0.00035511703922010563,ball_tree,manhattan,9,uniform,"{'algorithm': 'ball_tree', 'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.391304347826087,0.6521739130434783,0.6521739130434783,0.30434782608695654,0.43478260869565216,0.48695652173913045,0.14128762442845147,64,0.6304347826086957,0.5652173913043478,0.6630434782608695,0.6630434782608695,0.6086956521739131,0.6260869565217392,0.036764205489755994
0.1029085636138916,0.0004980530768392842,0.3188284397125244,0.005903997343540096,ball_tree,manhattan,9,distance,"{'algorithm': 'ball_tree', 'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.6521739130434783,0.782608695652174,0.6086956521739131,0.4782608695652174,0.7391304347826086,0.6521739130434783,0.1064995540340512,37,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.10535540580749511,0.0054813299624355116,0.312450647354126,0.01308489950816343,ball_tree,minkowski,3,uniform,"{'algorithm': 'ball_tree', 'metric': 'minkowski', 'n_neighbors': 3, 'weights': 'uniform'}",0.782608695652174,0.8260869565217391,0.6086956521739131,0.5217391304347826,0.6956521739130435,0.6869565217391305,0.1113586823901365,16,0.8152173913043478,0.8369565217391305,0.8478260869565217,0.8586956521739131,0.8478260869565217,0.8413043478260869,0.014744195615489734
0.10886869430541993,0.005979873838680366,0.3313194751739502,0.010075548035445608,ball_tree,minkowski,3,distance,"{'algorithm': 'ball_tree', 'metric': 'minkowski', 'n_neighbors': 3, 'weights': 'distance'}",0.782608695652174,0.8260869565217391,0.6086956521739131,0.6956521739130435,0.6956521739130435,0.7217391304347827,0.07580693814853345,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.10216269493103028,0.0012204945989660243,0.31058568954467775,0.006437074272944275,ball_tree,minkowski,5,uniform,"{'algorithm': 'ball_tree', 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'uniform'}",0.6521739130434783,0.6956521739130435,0.6086956521739131,0.5217391304347826,0.6956521739130435,0.6347826086956522,0.06507230237867724,40,0.7608695652173914,0.7391304347826086,0.782608695652174,0.8043478260869565,0.7391304347826086,0.7652173913043478,0.025351964760196986
0.10508055686950683,0.0010047103693407455,0.30701627731323244,0.0008116208920700824,ball_tree,minkowski,5,distance,"{'algorithm': 'ball_tree', 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'}",0.6956521739130435,0.8260869565217391,0.6521739130434783,0.5652173913043478,0.6956521739130435,0.6869565217391304,0.08430747578115357,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
